,business_id,score,date,type,score_level,diffFromPrev,prevScore
8796,69110,88,20161011,routine,3,,
8797,69110,80,20170711,routine,2,-8.0,88.0
8798,69113,96,20160701,routine,4,,
8799,69115,75,20160216,routine,2,,
8800,69115,74,20160914,routine,2,-1.0,75.0
8801,69115,83,20170913,routine,2,9.0,74.0
8802,69118,75,20150922,routine,2,,
8803,69118,88,20160714,routine,3,13.0,75.0
8804,69118,87,20171128,routine,3,-1.0,88.0
8805,69122,98,20150427,routine,4,,
8806,69122,98,20160629,routine,4,0.0,98.0
8807,69122,98,20170429,routine,4,0.0,98.0
8808,69125,100,20151106,routine,4,,
8809,69125,92,20160929,routine,4,-8.0,100.0
8810,69125,88,20170707,routine,3,-4.0,92.0
8811,69127,80,20150401,routine,2,,
8812,69127,92,20160303,routine,4,12.0,80.0
8813,69127,100,20170308,routine,4,8.0,92.0
8814,69135,100,20160410,routine,4,,
8815,69135,100,20170424,routine,4,0.0,100.0
8816,69135,100,20170919,routine,4,0.0,100.0
8817,69147,90,20150225,routine,3,,
8818,69147,91,20161205,routine,4,1.0,90.0
8819,69147,90,20171109,routine,3,-1.0,91.0
8820,69152,76,20150617,routine,2,,
8821,69152,86,20170816,routine,3,10.0,76.0
8822,69172,83,20150929,routine,2,,
8823,69172,92,20160524,routine,4,9.0,83.0
8824,69172,96,20170103,routine,4,4.0,92.0
8825,69172,94,20171120,routine,4,-2.0,96.0
8826,69175,81,20150616,routine,2,,
8827,69175,84,20160601,routine,2,3.0,81.0
8828,69175,76,20170829,routine,2,-8.0,84.0
8829,69181,92,20160330,routine,4,,
8830,69181,98,20161103,routine,4,6.0,92.0
8831,69181,92,20180116,routine,4,-6.0,98.0
8832,69186,94,20150805,routine,4,,
8833,69186,82,20170127,routine,2,-12.0,94.0
8834,69188,91,20150513,routine,4,,
8835,69188,96,20151113,routine,4,5.0,91.0
8836,69188,94,20170223,routine,4,-2.0,96.0
8837,69194,96,20170105,routine,4,,
8838,69195,89,20150324,routine,3,,
8839,69195,76,20160429,routine,2,-13.0,89.0
8840,69195,81,20170621,routine,2,5.0,76.0
8841,69199,53,20170127,routine,1,,
8842,69205,71,20150513,routine,2,,
8843,69205,68,20160426,routine,1,-3.0,71.0
8844,69205,76,20161005,routine,2,8.0,68.0
8845,69205,75,20171108,routine,2,-1.0,76.0
8846,69207,100,20150316,routine,4,,
8847,69207,92,20160412,routine,4,-8.0,100.0
8848,69207,90,20161024,routine,3,-2.0,92.0
8849,69207,98,20171012,routine,4,8.0,90.0
8850,69208,96,20150325,routine,4,,
8851,69208,96,20150326,routine,4,0.0,96.0
8852,69208,87,20161116,routine,3,-9.0,96.0
8853,69208,100,20180124,routine,4,13.0,87.0
8854,69214,94,20160112,routine,4,,
8855,69214,92,20161020,routine,4,-2.0,94.0
8856,69214,98,20180126,routine,4,6.0,92.0
8857,69215,91,20150831,routine,4,,
8858,69217,88,20160615,routine,3,,
8859,69237,100,20160325,routine,4,,
8860,69237,100,20160816,routine,4,0.0,100.0
8861,69237,100,20170331,routine,4,0.0,100.0
8862,69237,100,20171219,routine,4,0.0,100.0
8863,69244,92,20151105,routine,4,,
8864,69244,90,20170816,routine,3,-2.0,92.0
8865,69249,87,20160421,routine,3,,
8866,69249,92,20161025,routine,4,5.0,87.0
8867,69249,94,20170503,routine,4,2.0,92.0
8868,69250,98,20160707,routine,4,,
8869,69253,90,20150506,routine,3,,
8870,69253,96,20160128,routine,4,6.0,90.0
8871,69253,94,20160630,routine,4,-2.0,96.0
8872,69253,92,20161221,routine,4,-2.0,94.0
8873,69253,83,20170725,routine,2,-9.0,92.0
8874,69253,82,20171208,routine,2,-1.0,83.0
8875,69259,89,20160411,routine,3,,
8876,69259,96,20171130,routine,4,7.0,89.0
8877,69275,85,20150610,routine,2,,
8878,69275,87,20160817,routine,3,2.0,85.0
8879,69282,76,20160413,routine,2,,
8880,69282,83,20161003,routine,2,7.0,76.0
8881,69288,94,20160531,routine,4,,
8882,69290,100,20150422,routine,4,,
8883,69290,98,20160428,routine,4,-2.0,100.0
8884,69290,98,20170309,routine,4,0.0,98.0
8885,69291,98,20150306,routine,4,,
8886,69291,98,20160330,routine,4,0.0,98.0
8887,69291,100,20161221,routine,4,2.0,98.0
8888,69291,94,20170822,routine,4,-6.0,100.0
8889,69294,80,20150324,routine,2,,
8890,69294,83,20160328,routine,2,3.0,80.0
8891,69294,83,20170307,routine,2,0.0,83.0
8892,69299,88,20150423,routine,3,,
8893,69299,88,20170117,routine,3,0.0,88.0
8894,69312,100,20160607,routine,4,,
8895,69312,98,20170422,routine,4,-2.0,100.0
8896,69317,90,20151118,routine,3,,
8897,69317,88,20160914,routine,3,-2.0,90.0
8898,69317,86,20170926,routine,3,-2.0,88.0
8899,69324,87,20150901,routine,3,,
8900,69324,92,20160413,routine,4,5.0,87.0
8901,69324,88,20161025,routine,3,-4.0,92.0
8902,69324,85,20170403,routine,2,-3.0,88.0
8903,69324,89,20170830,routine,3,4.0,85.0
8904,69350,96,20160114,routine,4,,
8905,69350,91,20160520,routine,4,-5.0,96.0
8906,69350,96,20161110,routine,4,5.0,91.0
8907,69350,98,20171121,routine,4,2.0,96.0
8908,69351,82,20150806,routine,2,,
8909,69351,81,20160630,routine,2,-1.0,82.0
8910,69351,84,20161222,routine,2,3.0,81.0
8911,69351,85,20171207,routine,2,1.0,84.0
8912,69353,70,20150420,routine,1,,
8913,69353,86,20160907,routine,3,16.0,70.0
8914,69353,75,20170828,routine,2,-11.0,86.0
8915,69353,85,20180207,routine,2,10.0,75.0
8916,69368,86,20160505,routine,3,,
8917,69368,92,20170922,routine,4,6.0,86.0
8918,69383,94,20150615,routine,4,,
8919,69383,96,20170106,routine,4,2.0,94.0
8920,69387,94,20151027,routine,4,,
8921,69387,88,20161123,routine,3,-6.0,94.0
8922,69387,92,20170829,routine,4,4.0,88.0
8923,69388,92,20160921,routine,4,,
8924,69388,94,20170719,routine,4,2.0,92.0
8925,69392,70,20160630,routine,1,,
8926,69392,84,20170913,routine,2,14.0,70.0
8927,69397,92,20150220,routine,4,,
8928,69397,76,20150320,routine,2,-16.0,92.0
8929,69397,64,20170203,routine,1,-12.0,76.0
8930,69403,78,20160613,routine,2,,
8931,69403,86,20170918,routine,3,8.0,78.0
8932,69419,83,20160203,routine,2,,
8933,69419,86,20160810,routine,3,3.0,83.0
8934,69419,77,20170707,routine,2,-9.0,86.0
8935,69437,100,20160817,routine,4,,
8936,69465,94,20150224,routine,4,,
8937,69465,94,20160302,routine,4,0.0,94.0
8938,69465,96,20170202,routine,4,2.0,94.0
8939,69465,93,20170824,routine,4,-3.0,96.0
8940,69466,92,20150923,routine,4,,
8941,69466,86,20160405,routine,3,-6.0,92.0
8942,69466,90,20161013,routine,3,4.0,86.0
8943,69466,74,20170925,routine,2,-16.0,90.0
8944,69475,83,20160205,routine,2,,
8945,69475,94,20160817,routine,4,11.0,83.0
8946,69475,92,20170531,routine,4,-2.0,94.0
8947,69486,60,20151001,routine,1,,
8948,69486,64,20171107,routine,1,4.0,60.0
8949,69487,98,20170302,routine,4,,
8950,69489,100,20160318,routine,4,,
8951,69489,89,20170912,routine,3,-11.0,100.0
8952,69492,100,20150417,routine,4,,
8953,69492,90,20160505,routine,3,-10.0,100.0
8954,69492,92,20170901,routine,4,2.0,90.0
8955,69494,90,20150401,routine,3,,
8956,69494,68,20170525,routine,1,-22.0,90.0
8957,69494,81,20171107,routine,2,13.0,68.0
8958,69501,76,20160314,routine,2,,
8959,69501,81,20160825,routine,2,5.0,76.0
8960,69501,96,20170411,routine,4,15.0,81.0
8961,69512,92,20150521,routine,4,,
8962,69512,61,20160727,routine,1,-31.0,92.0
8963,69512,96,20180215,routine,4,35.0,61.0
8964,69520,63,20160503,routine,1,,
8965,69520,89,20160919,routine,3,26.0,63.0
8966,69527,92,20150624,routine,4,,
8967,69527,83,20160323,routine,2,-9.0,92.0
8968,69527,87,20170103,routine,3,4.0,83.0
8969,69527,96,20170808,routine,4,9.0,87.0
8970,69528,100,20150319,routine,4,,
8971,69528,100,20160401,routine,4,0.0,100.0
8972,69528,96,20171004,routine,4,-4.0,100.0
8973,69529,98,20150616,routine,4,,
8974,69547,100,20151120,routine,4,,
8975,69547,98,20161229,routine,4,-2.0,100.0
8976,69547,100,20180214,routine,4,2.0,98.0
8977,69562,100,20160505,routine,4,,
