,business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,zip_code,totalIns
2908,65531,YELLOW SUBMARINE,503 IRVING ST ,San Francisco,CA,94122,37.764136,-122.463146,+14156815652,94122,1
2909,65549,LA CICCIA,291 30TH ST ,San Francisco,CA,94131,37.742064,-122.42661799999999,+14155508114,94131,3
2910,65554,KOBE BENTO,901 KEARNY ST ,San Francisco,CA,94133,37.796463,-122.405224,+14158166126,94133,3
2911,65561,"HOUSE OF DIM SUM, INC.",735 JACKSON ST ,San Francisco,CA,94133,37.795873,-122.407495,+14153990888,94133,3
2912,65580,SUBWAY #25578,99 DRUMM ST,San Francisco,CA,94111,37.794576,-122.396643,+14159865510,94111,2
2913,65582,PACIFIC STREET FISH MARKET,1199 STOCKTON ST #E,San Francisco,CA,94133,37.796583,-122.408413,+14152035155,94133,3
2914,65602,ESCAPE FROM NEW YORK PIZZA,715 HARRISON ST ,San Francisco,CA,94103,37.782227,-122.39776200000001,+14158960700,94103,2
2915,65622,GOTT'S ROADSIDE TRAY GOURMET,1 FERRY BUILDING #6,San Francisco,CA,94111,37.795225,-122.39376999999999,+14153183423,94111,3
2916,65624,TACKO SHOP,3115 FILLMORE ST  ,San Francisco,CA,94123,37.798272999999995,-122.435774,+14157963534,94123,2
2917,65635,FOCACCIA MARKET BAKERY,455 MARKET ST 150,San Francisco,CA,94105,37.791227,-122.398872,+14153972900,94105,4
2918,65649,KRUA THAI KITCHEN,3214 16TH ST ,San Francisco,CA,94103,37.764788,-122.424462,+14152697200,94103,3
2919,65672,GOLDEN VEGGIE MARKET,1475 POLK ST ,San Francisco,CA,94109,37.790324,-122.42066399999999,+14152860609,94109,4
2920,65674,SUBWAY SANDWICHES #25379,30 02ND ST ,San Francisco,CA,94105,37.788828,-122.400971,+14159891866,94105,3
2921,65676,THE COFFEESMITH,401 GOLDEN GATE AVE ,San Francisco,CA,94102,37.781381,-122.41718600000002,+14155221188,94102,3
2922,65677,ELEVEN O ONE,1101 POLK ST ,San Francisco,CA,94109,37.787074,-122.41998400000001,+14154418585,94109,3
2923,65679,RED HOUSE BAKERY,2818 SAN BRUNO AVE ,San Francisco,CA,94134,37.72618,-122.40308200000001,+14156560128,94134,3
2925,65692,BLARNEY STONE,5625 GEARY BLVD ,San Francisco,CA,94121,37.780234,-122.479979,+14153869914,94121,1
2926,65695,MEDITERREAN FOOD,3848 JUDAH ST ,San Francisco,CA,94122,37.760598,-122.50325900000001,+14157319065,94122,3
2928,65724,LE MERIDIEN SF MAIN KITCHEN/EMPLOYEE CAFETERIA,333 BATTERY ST LEVEL A & B,San Francisco,CA,94111,37.799005,-122.39986200000001,+14152962904,94111,3
2929,65725,LE MERIDIEN SF PARK GRILL RESTAURANT & BAR,333 BATTERY ST LEVEL 2 & 3,San Francisco,CA,94111,37.799005,-122.39986200000001,+14152962904,94111,3
2930,65754,SUBWAY#51109,170 KING ST #131,San Francisco,CA,94107,37.778704,-122.39135900000001,+14158109557,94107,2
2931,65770,HAIGHT STREET HAPPY DONUTS,1794 HAIGHT ST ,San Francisco,CA,94117,37.769438,-122.451771,+14153861650,94117,3
2932,65776,111 MINNA GALLERY,111 MINNA ST,San Francisco,CA,94105,37.787378000000004,-122.39945900000001,+14159741719,94105,1
2933,65791,VENGA EMPANADAS,443 VALENCIA ST ,San Francisco,CA,94103,37.765834000000005,-122.421926,+14154108300,94103,3
2934,65795,MR. PIZZA MAN,2680 22ND ST ,San Francisco,CA,94110,37.756133,-122.40816399999999,+14159200260,94110,4
2935,65813,SAKESAN,626 CLEMENT ST ,San Francisco,CA,94118,37.782897999999996,-122.46601100000001,+14158766313,94118,2
2936,65819,CHINESE IMMERSION SCHOOL,1250 WALLER ST ,San Francisco,CA,94117,37.769418,-122.44426399999999,+14157493604,94117,4
2937,65820,MCAULEY ADOLESCENT SPECIAL EDUCATION,2200 HAYES ST ,San Francisco,CA,94117,37.773657,-122.45441699999999,+14157493604,94117,5
2938,65824,SUGARHILL KITCHEN,1449 LOMBARD ST ,San Francisco,CA,94123,37.801173,-122.425467,+14152922368,94123,2
2939,65826,SUBWAY #27657,701 SUTTER ST,San Francisco,CA,94109,37.788764,-122.412027,+14153451300,94109,3
2940,65829,CHAMBERS EAT + DRINK,601 EDDY ST ,San Francisco,CA,94109,37.783194,-122.41809599999999,+14158292316,94109,1
2941,65830,BUBBA GUMP SHRIMP CO., PIER 39  M210,San Francisco,CA,94133,37.808240000000005,-122.41018899999999,+14157814867,94133,3
2942,65831,SPICES RESTAURANT,291 06TH AVE ,San Francisco,CA,94118,37.778382,-122.462787,+14157528885,94118,2
2943,65833,RISTORANTE MILANO,1448 PACIFIC AVE ,San Francisco,CA,94109,37.795398,-122.419044,+14156732961,94109,3
2944,65834,ROMA PIZZERIA,5099 MISSION ST ,San Francisco,CA,94112,37.717423,-122.440265,+14152391800,94112,3
2945,65852,AL'S SUPER CAFE,3286 MISSION ST ,San Francisco,CA,94110,37.744324,-122.420831,+14156418445,94110,3
2947,65857,NAKED LUNCH,504 BROADWAY ST ,San Francisco,CA,94133,37.798028,-122.405673,,94133,3
2948,65860,SUPER DUPER,721 MARKET ST ,San Francisco,CA,94103,37.787096999999996,-122.404122,+14156524007,94103,3
2949,65872,BARCINO,399 GROVE ST ,San Francisco,CA,94102,37.777833,-122.422797,+14158642693,94102,2
